embedder,chunk_size,overlap,time_ms,memory_kb
MiniLM,200,50,78968.75,653.2978515625
MiniLM,500,100,51125.0,588.572265625
MiniLM,1000,200,45375.0,575.427734375
MPNet,200,50,406546.875,642.509765625
MPNet,500,100,346656.25,587.8701171875
MPNet,1000,200,313921.875,577.1064453125
Instructor,200,50,6454078.125,606.70703125
Instructor,500,100,6010296.875,571.3017578125
Instructor,1000,200,5387281.25,560.4638671875
Instructor,200,50,7929234.375,853.1103515625
Instructor,500,100,7463921.875,681.8486328125
Instructor,1000,200,6734437.5,687.4892578125
MiniLM,200,50,101531.25,678.9404296875
MiniLM,500,100,65890.625,670.2861328125
MiniLM,1000,200,65359.375,663.9677734375
MPNet,200,50,517093.75,710.13671875
MPNet,500,100,432765.625,673.494140625
MPNet,1000,200,393375.0,653.7880859375
Instructor,300,50,7598187.5,828.2158203125
