DB,Embedder,Chunk Size,Overlap,Question Number,Context Retrieval Time,Context Retrieval Memory
Chroma,Instructor,200,50,0,46819.92,2546.455078125
Chroma,Instructor,200,50,1,27968.769,55.0458984375
Chroma,Instructor,200,50,2,28332.196,49.88671875
Chroma,Instructor,200,50,3,27574.052,39.25
Chroma,Instructor,200,50,4,28694.515,46.109375
Chroma,Instructor,500,100,0,46517.224,2319.154296875
Chroma,Instructor,500,100,1,27502.812,83.0048828125
Chroma,Instructor,500,100,2,27751.476,70.1015625
Chroma,Instructor,500,100,3,27410.558,43.904296875
Chroma,Instructor,500,100,4,28620.681,53.3076171875
Chroma,Instructor,1000,200,0,47262.36,2327.21484375
Chroma,Instructor,1000,200,1,26423.797,91.353515625
Chroma,Instructor,1000,200,2,26447.771,82.4560546875
Chroma,Instructor,1000,200,3,27324.393,42.228515625
Chroma,Instructor,1000,200,4,27558.836,52.3056640625
Chroma,MiniLM,200,50,0,1789.154,1492.0654296875
Chroma,MiniLM,200,50,1,815.1,908.662109375
Chroma,MiniLM,200,50,2,703.509,908.662109375
Chroma,MiniLM,200,50,3,434.283,908.544921875
Chroma,MiniLM,200,50,4,312.929,908.544921875
Chroma,MiniLM,500,100,0,1507.178,1406.4306640625
Chroma,MiniLM,500,100,1,499.299,911.94921875
Chroma,MiniLM,500,100,2,355.218,908.544921875
Chroma,MiniLM,500,100,3,335.686,908.544921875
Chroma,MiniLM,500,100,4,367.397,908.544921875
Chroma,MiniLM,1000,200,0,1390.914,1408.46484375
Chroma,MiniLM,1000,200,1,598.937,911.7880859375
Chroma,MiniLM,1000,200,2,448.468,908.544921875
Chroma,MiniLM,1000,200,3,594.85,908.544921875
Chroma,MiniLM,1000,200,4,470.437,908.662109375
Chroma,MPNet,200,50,0,4730.105,2501.7236328125
Chroma,MPNet,200,50,1,229.804,48.8125
Chroma,MPNet,200,50,2,215.95,47.849609375
Chroma,MPNet,200,50,3,245.371,35.9384765625
Chroma,MPNet,200,50,4,250.777,50.6591796875
Chroma,MPNet,500,100,0,808.773,2327.2744140625
Chroma,MPNet,500,100,1,223.945,70.3798828125
Chroma,MPNet,500,100,2,203.977,81.2421875
Chroma,MPNet,500,100,3,262.46,37.8134765625
Chroma,MPNet,500,100,4,237.238,51.3271484375
Chroma,MPNet,1000,200,0,540.199,2314.646484375
Chroma,MPNet,1000,200,1,195.44,76.1484375
Chroma,MPNet,1000,200,2,190.163,68.763671875
Chroma,MPNet,1000,200,3,251.504,47.2197265625
Chroma,MPNet,1000,200,4,225.252,62.279296875
